event,leg,pred,series,CAR_vs_exfin_%,t,CAR_vs_SPY_%,n,hit
lehman_2008,credit,+,AMANX,11.54,0.72,15.84,55,True
lehman_2008,credit,+,AMAGX,1.36,0.1,5.67,55,True
lehman_2008,credit,+,IMANX,-15.38,-1.51,-11.08,55,False
lehman_2008,credit,+,ISDU.L,3.8,0.57,8.11,55,True
svb_2023,credit,+,AMANX,-0.77,-0.49,0.93,13,False
svb_2023,credit,+,AMAGX,0.13,0.12,1.83,13,True
svb_2023,credit,+,IMANX,0.7,0.7,2.41,13,True
svb_2023,credit,+,ISDU.L,-1.38,-0.27,0.33,13,False
svb_2023,credit,+,SPUS,1.36,1.97,3.06,13,True
svb_2023,credit,+,HLAL,0.24,0.28,1.94,13,True
svb_2023,credit,+,UMMA,1.14,0.3,2.84,13,True
credit_suisse_2023,credit,+,AMANX,-1.47,-0.94,-0.79,13,False
credit_suisse_2023,credit,+,AMAGX,-0.19,-0.18,0.49,13,False
credit_suisse_2023,credit,+,IMANX,0.18,0.18,0.86,13,True
credit_suisse_2023,credit,+,ISDU.L,-0.39,-0.09,0.29,13,False
credit_suisse_2023,credit,+,SPUS,0.81,1.05,1.49,13,True
credit_suisse_2023,credit,+,HLAL,0.07,0.09,0.75,13,True
credit_suisse_2023,credit,+,UMMA,0.47,0.12,1.15,13,True
taper_tantrum_2013,rate,-,AMANX,-0.36,-0.4,-0.31,23,True
taper_tantrum_2013,rate,-,AMAGX,-1.15,-1.3,-1.11,23,True
taper_tantrum_2013,rate,-,IMANX,-0.72,-0.56,-0.67,23,True
taper_tantrum_2013,rate,-,ISDU.L,-0.86,-0.15,-0.82,23,True
selloff_2018q4,rate,-,AMANX,5.34,1.37,5.27,59,False
selloff_2018q4,rate,-,AMAGX,1.66,0.64,1.6,59,False
selloff_2018q4,rate,-,IMANX,-6.83,-1.39,-6.89,59,True
selloff_2018q4,rate,-,ISDU.L,5.15,0.48,5.09,59,False
hiking_2022,rate,-,AMANX,6.48,0.71,5.4,209,False
hiking_2022,rate,-,AMAGX,-3.62,-0.8,-4.7,209,True
hiking_2022,rate,-,IMANX,-15.26,-1.73,-16.34,209,True
hiking_2022,rate,-,ISDU.L,7.52,0.36,6.53,202,False
hiking_2022,rate,-,SPUS,-3.89,-0.96,-4.97,209,True
hiking_2022,rate,-,HLAL,2.96,0.76,1.88,209,False
hiking_2022,rate,-,UMMA,-18.91,-1.34,-18.92,204,True
chatgpt_2022,ai,+,AMANX,-4.48,-1.17,-4.46,61,False
chatgpt_2022,ai,+,AMAGX,-0.6,-0.26,-0.58,61,False
chatgpt_2022,ai,+,IMANX,2.65,1.32,2.67,61,True
chatgpt_2022,ai,+,ISDU.L,-2.87,-0.35,-2.79,60,False
chatgpt_2022,ai,+,SPUS,1.45,0.8,1.48,61,True
chatgpt_2022,ai,+,HLAL,0.61,0.34,0.63,61,True
chatgpt_2022,ai,+,UMMA,3.03,0.49,3.05,61,True
nvidia_2023,ai,+,AMANX,-4.73,-2.02,-4.6,46,False
nvidia_2023,ai,+,AMAGX,-2.9,-1.66,-2.77,46,False
nvidia_2023,ai,+,IMANX,0.45,0.22,0.59,46,True
nvidia_2023,ai,+,ISDU.L,-1.28,-0.31,-1.15,46,False
nvidia_2023,ai,+,SPUS,0.78,0.49,0.92,46,True
nvidia_2023,ai,+,HLAL,-0.29,-0.28,-0.16,46,False
nvidia_2023,ai,+,UMMA,-4.83,-1.18,-4.7,46,False
covid_2020,credit,+,AMANX,1.9,0.54,3.78,24,True
covid_2020,credit,+,AMAGX,8.09,3.55,9.97,24,True
covid_2020,credit,+,IMANX,0.71,0.23,2.58,24,True
covid_2020,credit,+,ISDU.L,-1.88,-0.09,-0.01,24,False
covid_2020,credit,+,SPUS,1.55,0.25,3.42,24,True
covid_2020,credit,+,HLAL,-1.58,-0.38,0.29,24,False
